ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
189	189	2.082	палка-ручка-контроль	12.7	37.6	порода-охристая	1.115	20.0	15.0	17.0	22.7	bbox	188	5.0	5.0	5.0	561,801,6,5	89.3	39.4861400	73.5856370	4439.8
190	190	1.152	палка-ручка-пробка	8.5	12.6	лишайник-жёлтый-на-камне	1.128	63.1	11.0	17.0	20.2	bbox	189	3.0	3.0	3.0	459,885,7,5	89.1	39.4861403	73.5856368	4439.8
191	191	1.166	палка-ручка-контроль	9.2	5.1	лишайник-жёлтый-на-камне	0.881	52.5	8.0	17.0	18.8	bbox	190	0.0	0.0	0.0	501,993,5,9	88.7	39.4861410	73.5856368	4439.8
192	192	1.282	стакан-марка-красная	7.3	25.3	снег-розовый	1.156	75.1	9.0	8.0	12.0	bbox	191	5.0	5.0	5.0	305,1054,6,5	87.6	39.4861400	73.5856370	4439.8
193	193	0.277	палка-ручка-пробка	2.0	3.3	лишайник-жёлтый-на-камне	0.799	72.4	3.0	23.0	23.2	bbox	192	3.0	3.0	3.0	397,153,4,7	87.4	39.4861403	73.5856368	4439.8
194	194	1.759	стакан-марка-красная	8.7	38.6	порода-охристая	1.095	11.2	7.5	9.0	11.7	bbox	193	1.0	1.0	1.0	902,823,5,10	85.0	39.4861408	73.5856367	4439.8
195	195	1.110	стакан-марка-красная	8.5	8.8	снег-розовый	0.683	58.6	2.5	1.5	2.9	bbox	194	0.0	0.0	0.0	790,233,3,8	84.7	39.4861410	73.5856368	4439.8
196	196	0.809	стакан-марка-красная	5.8	9.8	порода-охристая	0.731	40.0	8.0	6.0	10.0	bbox	195	3.0	3.0	3.0	239,209,12,2	83.1	39.4861403	73.5856368	4439.8
197	197	1.328	палка-ручка-пробка	8.7	21.2	порода-охристая	0.824	54.5	8.5	15.0	17.2	bbox	196	11.0	11.0	11.0	409,537,6,6	82.3	39.4861389	73.5856385	4439.9
198	198	1.158	палка-ручка-пробка	8.9	8.4	лишайник-жёлтый-на-камне	1.127	84.1	9.0	15.0	17.5	bbox	197	11.0	11.0	11.0	113,187,6,6	80.9	39.4861389	73.5856385	4439.9
