track	t_best	t0	t1	bbox	length_px	score	lat	lon	alt
214	88.1	87.1	91.1	558,882,96,186	206.6	1296.8	39.4863270	73.5937830	4927.5
215	79.1	79.1	81.1	1306,0,52,104	111.9	1296.1	39.4863270	73.5937820	4927.6
216	77.1	76.1	78.1	602,140,62,132	141.8	1296.0	39.4863280	73.5937830	4927.6
217	103.1	103.1	104.1	924,460,88,174	190.5	1295.6	39.4863260	73.5937820	4927.5
218	80.1	80.1	80.1	1066,0,48,68	79.2	1294.2	39.4863270	73.5937820	4927.5
219	225.2	223.2	225.2	1502,828,24,166	164.2	1293.4	39.4863270	73.5937830	4927.5
220	104.1	104.1	104.1	178,928,66,152	162.4	1290.7	39.4863260	73.5937820	4927.5
221	162.2	162.2	162.2	1122,922,26,134	134.1	1277.6	39.4863280	73.5937830	4927.4
222	163.2	163.2	163.2	360,914,46,166	169.2	1274.2	39.4863280	73.5937830	4927.5
223	59.1	59.1	67.1	324,868,70,102	120.9	1271.2	39.4863270	73.5937820	4927.6
224	165.2	161.2	165.2	812,644,46,184	185.8	1270.9	39.4863280	73.5937840	4927.5
225	53.1	47.0	53.1	548,906,58,94	106.7	1269.2	39.4863260	73.5937820	4927.6
226	171.2	163.2	171.2	468,308,44,164	166.7	1260.6	39.4863280	73.5937840	4927.5
227	80.1	80.1	81.1	914,0,72,80	104.8	1259.6	39.4863270	73.5937820	4927.5
228	77.1	76.1	77.1	370,766,78,148	163.6	1253.3	39.4863280	73.5937830	4927.6
229	134.1	127.1	135.1	642,366,30,106	104.9	1253.3	39.4863270	73.5937820	4927.5
230	58.1	58.1	58.1	618,104,84,92	113.2	1250.6	39.4863270	73.5937820	4927.6
231	87.1	84.1	87.1	320,652,62,110	123.4	1249.6	39.4863270	73.5937830	4927.5
232	86.1	80.1	86.1	974,0,40,82	84.3	1246.6	39.4863270	73.5937830	4927.5
233	78.1	78.1	78.1	400,422,60,152	156.8	1243.4	39.4863280	73.5937820	4927.6
234	86.1	86.1	93.1	1062,646,64,134	144.2	1242.9	39.4863270	73.5937830	4927.5
235	124.1	123.1	135.1	510,960,46,90	98.1	1242.0	39.4863270	73.5937820	4927.5
236	93.1	93.1	101.1	772,854,90,166	183.1	1240.9	39.4863270	73.5937820	4927.5
237	25.0	14.0	27.0	810,46,50,150	154.4	1240.1	39.4863240	73.5937840	4927.6
238	102.1	102.1	104.1	388,882,76,140	156.6	1237.0	39.4863260	73.5937810	4927.5
239	216.2	216.2	219.2	1452,638,48,188	190.6	1233.2	39.4863280	73.5937840	4927.5
