ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
234	234	1.172	рюкзак-синий	9.2	5.9	снег-в-тени	1.849	44.7	7.0	-21.0	22.1	bbox	233	62.0	62.0	62.0	1323,93,22,20	612.4			
235	235	0.588	рюкзак-синий	3.2	12.2	снег-в-тени	1.158	51.0	2.0	-17.0	17.1	bbox	234	86.0	86.0	86.0	1831,415,42,20	611.3			
236	236	1.433	рюкзак-синий	11.4	4.3	снег-в-тени	2.177	34.5	8.0	-23.0	24.4	bbox	235	15.0	13.0	15.0	1700,630,19,31	611.0			
237	237	0.696	рюкзак-синий	5.0	8.6	снег-в-тени	1.432	30.2	5.0	-17.0	17.7	bbox	236	94.0	94.0	94.0	1905,17,15,16	610.9			
238	238	0.994	палка-древко-контроль	7.2	11.7	снег-в-тени	1.712	53.3	-4.0	-21.0	21.4	bbox	237	38.0	34.0	41.0	5,631,34,26	606.7			
239	239	2.063	рюкзак-синий	7.1	52.2	снег-пересвеченный	0.707	91.0	0.0	-7.0	7.0	bbox	238	31.0	30.0	32.0	1801,323,28,14	595.6			
240	240	0.763	рюкзак-синий	5.1	11.7	снег-в-тени	1.582	27.1	2.0	-19.0	19.1	bbox	239	2.0	2.0	2.0	1911,534,9,61	593.8			
241	241	1.467	рюкзак-синий	6.1	35.1	снег-в-тени	0.933	73.9	0.0	-8.0	8.0	bbox	240	40.0	40.0	46.0	1853,488,22,10	592.7			
242	242	2.149	стакан-марка-красная	12.2	42.4	снег-пересвеченный	0.731	92.2	1.0	-6.0	6.1	bbox	241	20.0	17.0	23.0	1532,401,27,17	589.5			
243	243	1.178	стакан-марка-красная	4.5	29.0	снег-розовый	0.730	78.8	7.0	-1.0	7.1	bbox	242	86.0	85.0	87.0	1291,511,14,14	586.6			
244	244	1.011	стакан-марка-красная	3.0	26.3	снег-розовый	0.762	76.1	8.0	1.0	8.1	bbox	243	89.0	81.0	89.0	1193,385,13,18	583.8			
245	245	0.759	рюкзак-синий	5.4	9.8	снег-в-тени	0.179	48.6	-1.0	-9.0	9.1	bbox	244	103.0	103.0	103.0	389,429,26,24	583.2			
246	246	1.906	палка-ручка-пробка	15.2	2.8	снег-розовый	0.966	72.9	-1.0	9.0	9.1	bbox	245	98.0	97.0	98.0	100,89,36,10	582.5			
247	247	2.220	палка-древко-контроль	8.9	53.7	снег-пересвеченный	0.527	95.3	-4.0	-7.0	8.1	bbox	246	17.0	12.0	22.0	0,0,23,14	580.6			
248	248	1.877	палка-древко-контроль	9.5	40.8	снег-пересвеченный	0.493	82.4	-5.0	-6.0	7.8	bbox	247	18.0	18.0	19.0	0,132,43,31	576.6			
249	249	1.010	рюкзак-синий	4.5	23.6	снег-в-тени	0.590	62.4	-1.0	-10.0	10.0	bbox	248	135.0	135.0	136.0	1681,37,22,14	576.5			
250	250	0.564	рюкзак-синий	2.0	14.1	снег-в-тени	0.858	52.9	3.0	-14.0	14.3	bbox	249	87.0	83.0	92.0	373,192,36,29	572.6			
251	251	1.071	рюкзак-синий	4.1	26.3	снег-в-тени	0.666	65.1	0.0	-10.0	10.0	bbox	250	94.0	94.0	94.0	49,121,28,12	571.8			
252	252	1.097	рюкзак-синий	5.8	23.0	снег-в-тени	1.484	61.8	-2.0	-19.0	19.1	bbox	251	38.0	30.0	41.0	47,475,18,14	563.2			
253	253	0.845	рюкзак-синий	5.0	15.9	снег-в-тени	0.431	54.7	-2.0	-10.0	10.2	bbox	252	103.0	101.0	103.0	166,551,33,10	563.1			
254	254	2.063	стакан-марка-красная	12.4	38.2	снег-освещённый	0.360	88.0	-1.0	-2.0	2.2	bbox	253	4.0	0.0	4.0	1881,115,39,10	557.3			
255	255	0.986	рюкзак-синий	7.3	10.6	снег-в-тени	1.669	49.4	3.0	-21.0	21.2	bbox	254	39.0	37.0	41.0	127,473,20,24	549.6			
256	256	1.653	рюкзак-синий	11.0	25.5	порода-в-тени	0.434	13.3	0.0	-3.0	3.0	bbox	255	59.0	53.0	60.0	1885,899,24,13	549.1			
257	257	0.760	палка-древко-контроль	4.1	15.7	снег-в-тени	1.168	57.3	-4.0	-16.0	16.5	bbox	256	101.0	101.0	102.0	540,153,57,18	544.2			
258	258	0.858	палка-древко-контроль	2.2	22.7	снег-в-тени	1.226	64.3	-7.0	-13.0	14.8	bbox	257	19.0	18.0	22.0	447,57,58,6	535.6			
259	259	0.355	рюкзак-синий	2.8	1.0	снег-в-тени	1.126	37.8	3.0	-16.0	16.3	bbox	258	104.0	104.0	104.0	1609,121,12,12	530.9			
260	260	0.760	палка-древко-контроль	5.0	12.1	снег-в-тени	1.363	53.7	-4.0	-18.0	18.4	bbox	259	42.0	42.0	42.0	345,213,60,10	528.3			
261	261	1.905	рюкзак-синий	15.1	6.3	снег-в-тени	2.707	32.5	3.0	-29.0	29.2	bbox	260	68.0	67.0	68.0	1786,0,9,49	527.4			
262	262	0.510	рюкзак-синий	3.6	6.7	снег-в-тени	1.135	45.5	-1.0	-17.0	17.0	bbox	261	100.0	100.0	100.0	905,249,6,36	526.7			
263	263	2.143	рюкзак-синий	16.1	20.4	снег-в-тени	2.783	59.2	-1.0	-30.0	30.0	bbox	262	36.0	36.0	43.0	270,191,15,24	525.8			
264	264	1.357	палка-древко-контроль	8.1	25.5	снег-в-тени	2.180	67.1	-7.0	-23.0	24.0	bbox	263	106.0	106.0	106.0	0,13,37,16	524.8			
265	265	1.697	стакан-марка-красная	11.0	27.7	снег-освещённый	0.173	77.5	0.0	0.0	0.0	bbox	264	129.0	129.0	130.0	1120,81,27,10	524.2			
266	266	1.884	рюкзак-синий	12.0	31.7	порода-в-тени	0.552	7.1	0.0	-2.0	2.0	bbox	265	26.0	25.0	33.0	1818,969,53,33	520.5			
267	267	0.342	рюкзак-синий	1.4	8.2	снег-в-тени	0.912	30.6	2.0	-13.0	13.2	bbox	266	62.0	62.0	62.0	1885,673,32,28	520.1			
268	268	1.010	стакан-марка-красная	5.7	20.2	порода-охристая	0.955	29.6	7.0	5.0	8.6	bbox	267	137.0	137.0	137.0	83,760,8,51	519.4			
269	269	1.038	рюкзак-синий	6.3	18.8	снег-в-тени	0.373	57.6	-1.0	-8.0	8.1	bbox	268	29.0	29.0	33.0	1814,353,39,12	518.6			
270	270	1.091	палка-древко-контроль	3.6	27.8	снег-в-тени	1.501	69.4	-5.0	-17.0	17.7	bbox	269	23.0	21.0	23.0	471,47,56,10	517.2			
271	271	1.296	рюкзак-синий	5.0	31.8	снег-в-тени	0.833	70.6	1.0	-9.0	9.1	bbox	270	35.0	34.0	35.0	1309,227,28,10	516.6			
272	272	2.047	стакан-марка-красная	13.2	34.1	снег-освещённый	0.209	83.9	-2.0	-1.0	2.2	bbox	271	3.0	2.0	3.0	1859,117,37,8	515.6			
273	273	1.155	стакан-марка-красная	9.2	2.3	снег-в-тени	1.125	47.5	9.0	-8.0	12.0	bbox	272	83.0	83.0	84.0	1261,481,32,23	515.0			
274	274	2.269	рюкзак-синий	9.2	54.7	снег-пересвеченный	0.463	93.5	-1.0	-5.0	5.1	bbox	273	16.0	7.0	16.0	1311,145,21,14	512.2			
275	275	1.116	стакан-марка-красная	3.2	29.2	снег-розовый	0.792	79.0	8.0	0.0	8.0	bbox	274	89.0	87.0	91.0	1527,345,12,20	510.4			
276	276	1.601	стакан-марка-красная	11.4	20.4	снег-освещённый	0.471	70.2	0.0	-2.0	2.0	bbox	275	0.0	0.0	0.0	1646,57,55,18	501.8			
277	277	0.563	рюкзак-синий	3.6	9.4	снег-в-тени	0.396	48.2	-1.0	-11.0	11.0	bbox	276	11.0	11.0	11.0	37,72,36,39	501.8			
278	278	0.733	палка-древко-контроль	2.2	19.0	снег-в-тени	1.168	60.6	-7.0	-13.0	14.8	bbox	277	26.0	26.0	26.0	659,31,46,8	500.8			
279	279	2.484	стакан-марка-красная	14.3	48.2	снег-пересвеченный	0.319	98.0	-3.0	-2.0	3.6	bbox	278	14.0	12.0	22.0	55,0,22,27	492.1			
280	280	0.855	палка-древко-контроль	1.8	23.1	снег-в-тени	1.266	64.7	-7.0	-13.5	15.2	bbox	279	28.0	27.0	31.0	293,14,56,7	491.8			
281	281	1.206	рюкзак-синий	7.1	23.0	снег-в-тени	1.700	61.8	0.0	-21.0	21.0	bbox	280	83.0	83.0	86.0	201,299,46,20	491.2			
282	282	0.396	рюкзак-синий	2.0	8.6	снег-в-тени	1.188	30.2	1.0	-16.0	16.0	bbox	281	20.0	16.0	20.0	1735,1025,42,36	491.0			
283	283	2.141	стакан-марка-красная	13.2	38.0	порода-в-тени	0.641	11.8	-2.0	3.5	4.0	bbox	282	124.0	121.0	127.0	127,809,10,19	490.2			
284	284	1.742	рюкзак-синий	5.0	45.5	снег-в-тени	1.874	84.3	4.0	-18.0	18.4	bbox	283	116.0	111.0	116.0	1321,189,64,6	488.8			
285	285	1.317	стакан-марка-красная	7.3	26.7	порода-охристая	1.432	76.5	13.0	8.0	15.3	bbox	284	115.0	115.0	115.0	5,968,23,15	482.4			
286	286	0.967	рюкзак-синий	5.1	20.4	порода-в-тени	1.033	18.4	0.0	-9.0	9.0	bbox	285	101.0	101.0	101.0	1557,41,12,26	477.8			
287	287	0.774	палка-древко-контроль	4.0	16.4	снег-в-тени	1.022	58.0	-4.0	-14.5	15.0	bbox	286	22.0	22.0	22.0	88,69,41,18	477.7			
288	288	1.420	рюкзак-синий	5.0	35.7	снег-в-тени	1.427	74.5	6.0	-14.0	15.2	bbox	287	131.0	131.0	131.0	481,61,46,6	472.8			
289	289	0.963	палка-древко-контроль	1.5	26.4	снег-в-тени	1.396	68.0	-6.5	-15.0	16.3	bbox	288	137.0	137.0	137.0	1485,41,16,10	469.8			
290	290	0.991	стакан-марка-красная	7.3	11.0	порода-охристая	0.918	60.8	9.0	8.0	12.0	bbox	289	133.0	133.0	137.0	91,531,12,38	467.2			
291	291	0.997	рюкзак-синий	7.6	8.3	снег-в-тени	1.068	47.1	8.0	-11.0	13.6	bbox	290	95.0	95.0	95.0	1531,27,12,16	464.2			
292	292	0.907	рюкзак-синий	5.1	18.1	снег-в-тени	0.347	56.9	0.0	-9.0	9.0	bbox	291	24.0	24.0	27.0	1415,447,42,12	463.6			
293	293	1.676	стакан-марка-красная	11.2	25.9	порода-в-тени	0.573	23.9	0.0	3.0	3.0	bbox	292	43.0	43.0	45.0	1855,709,16,24	462.3			
294	294	1.521	стакан-марка-красная	12.2	1.4	снег-в-тени	0.892	51.2	-1.0	-1.0	1.4	bbox	293	92.0	92.0	92.0	1095,616,50,11	460.6			
