video	t	drone_lat	drone_lon	drone_alt	hit_lat	hit_lon	hit_alt	dist_m	gb_yaw	gb_pitch	f_px	file
DJI_20260813163855_0001_Z	555.7	39.483388	73.585526	4611	39.483035	73.586425	4634	90	116.9	15.3	2987.0	DJI_20260813163855_0001_Z_t0555.jpg
DJI_20260813163855_0001_Z	560.3	39.483390	73.585525	4611	39.483049	73.586448	4636	91	115.5	15.9	4092.0	DJI_20260813163855_0001_Z_t0560.jpg
DJI_20260813163855_0001_Z	563.7	39.483391	73.585523	4611	39.483069	73.586473	4637	93	113.7	16.3	10201.0	DJI_20260813163855_0001_Z_t0563.jpg
DJI_20260813163855_0001_Z	591.7	39.483395	73.585518	4610	39.483134	73.586622	4644	105	107.0	18.7	6313.0	DJI_20260813163855_0001_Z_t0591.jpg
DJI_20260813163855_0001_Z	596.7	39.483393	73.585518	4611	39.482609	73.586576	4653	133	133.8	18.7	6313.0	DJI_20260813163855_0001_Z_t0596.jpg
DJI_20260813163855_0001_Z	600.3	39.483393	73.585518	4610	39.482875	73.586606	4649	116	121.6	19.5	4937.0	DJI_20260813163855_0001_Z_t0600.jpg
DJI_20260813163855_0001_Z	604.3	39.483387	73.585524	4611	39.482928	73.586608	4649	113	118.7	19.7	2538.0	DJI_20260813163855_0001_Z_t0604.jpg
DJI_20260813163855_0001_Z	608.3	39.483311	73.585622	4611	39.482943	73.586527	4643	93	117.8	19.7	2538.0	DJI_20260813163855_0001_Z_t0608.jpg
DJI_20260813163855_0001_Z	611.0	39.483237	73.585718	4614	39.482928	73.586496	4641	80	117.2	19.7	2317.0	DJI_20260813163855_0001_Z_t0611.jpg
DJI_20260813163855_0001_Z	613.7	39.483178	73.585806	4617	39.482964	73.586483	4639	67	112.2	19.7	2153.0	DJI_20260813163855_0001_Z_t0613.jpg
DJI_20260813163855_0001_Z	615.7	39.483143	73.585860	4619	39.482951	73.586478	4639	61	111.9	19.7	2939.0	DJI_20260813163855_0001_Z_t0615.jpg
DJI_20260813163855_0001_Z	618.3	39.483110	73.585911	4621	39.482935	73.586474	4639	55	111.9	19.7	2317.0	DJI_20260813163855_0001_Z_t0618.jpg
DJI_20260813183004_0001_Z	0.3	39.483396	73.585139	4552					143.9	-27.9		DJI_20260813183004_0001_Z_t0000.jpg
DJI_20260813183004_0001_Z	79.3	39.483395	73.585136	4552					131.3	-31.2		DJI_20260813183004_0001_Z_t0079.jpg
DJI_20260813183004_0001_Z	85.7	39.483397	73.585135	4552					131.3	-31.3	8478.0	DJI_20260813183004_0001_Z_t0085.jpg
