ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
1500	1500	1.099	стакан-марка-красная	7.3	17.3	порода-охристая	0.497	32.5	13.0	8.0	15.3	bbox	1499	225.2	225.2	225.2	716,801,5,6	76.5	39.4863270	73.5937830	4927.5
1501	1501	1.459	рюкзак-синий	7.6	31.0	порода-в-тени	1.152	7.8	4.0	-7.0	8.1	bbox	1500	81.1	81.1	81.1	1496,81,9,4	76.4	39.4863270	73.5937820	4927.5
1502	1502	1.037	рюкзак-синий	6.3	18.8	порода-в-тени	0.884	20.0	-1.0	-8.0	8.1	bbox	1501	77.1	77.1	77.1	482,652,5,5	76.2	39.4863280	73.5937830	4927.6
1503	1503	2.112	палка-древко-контроль	16.0	19.0	снег-освещённый	1.141	60.6	-8.0	1.0	8.1	bbox	1502	205.2	205.2	205.2	193,610,6,6	76.2	39.4863270	73.5937840	4927.5
1504	1504	1.805	стакан-марка-красная	11.0	32.6	снег-освещённый	0.137	82.4	0.0	0.0	0.0	bbox	1503	207.2	207.2	207.2	227,220,5,5	76.0	39.4863270	73.5937840	4927.5
1505	1505	2.001	рюкзак-синий	13.3	31.0	порода-в-тени	0.448	7.8	-2.0	-1.0	2.2	bbox	1504	217.2	217.2	217.2	1793,974,10,3	76.0	39.4863280	73.5937840	4927.5
1506	1506	1.035	рюкзак-синий	5.7	21.2	снег-в-тени	1.270	17.6	5.0	-10.0	11.2	bbox	1505	191.2	191.2	191.2	1918,169,2,10	75.8	39.4863260	73.5937830	4927.4
1507	1507	1.791	рюкзак-синий	9.1	38.8	снег-освещённый	0.647	77.6	0.0	-5.0	5.0	bbox	1506	97.1	96.1	98.1	1705,27,6,11	75.5	39.4863260	73.5937810	4927.5
1508	1508	1.278	стакан-марка-красная	8.1	22.0	снег-в-тени	1.242	27.8	8.0	-6.5	10.3	bbox	1507	7.0	7.0	7.0	1859,199,6,4	75.2	39.4863200	73.5937890	4927.6
1509	1509	1.394	стакан-марка-красная	5.0	34.9	порода-в-тени	1.149	14.9	7.0	-2.0	7.3	bbox	1508	95.1	89.1	99.1	1154,34,7,5	75.1	39.4863270	73.5937820	4927.5
