photo	lat	lon	alt	dist_m	drone_lat	drone_lon	drone_alt	gb_yaw	gb_pitch	dem_alt	dem_minus_lrf
data/drive/2026-08-16/polanski/DJI_20260816115701_0018_Z.JPG	39.4825255	73.5859398	4597.4	86.895	39.48276199	73.584980495	4589.37	107.7	5.3	4622.8	+25.4
data/drive/2026-08-16/polanski/DJI_20260816115716_0019_Z.JPG	39.4825472	73.5859260	4595.4	84.9	39.482761878	73.584980318	4589.424	106.4	4.0	4621.4	+26.0
data/drive/2026-08-16/polanski/DJI_20260816115717_0020_Z.JPG	39.4825472	73.5859256	4595.4	84.866	39.482761816	73.58498033	4589.432	106.4	4.0	4621.4	+26.0
data/drive/2026-08-16/polanski/DJI_20260816115726_0021_Z.JPG	39.4825475	73.5859265	4595.4	84.871	39.482762049	73.584981122	4589.417	106.4	4.0	4621.4	+26.0
data/drive/2026-08-16/polanski/DJI_20260816115729_0022_Z.JPG	39.4825483	73.5859263	4595.3	84.816	39.482762715	73.584981549	4589.376	106.4	4.0	4621.3	+26.0
data/drive/2026-08-16/polanski/DJI_20260816115737_0023_Z.JPG	39.4825278	73.5859311	4596.8	86.104	39.482764753	73.584981026	4589.388	107.9	4.9	4622.4	+25.6
data/drive/2026-08-16/polanski/DJI_20260816115738_0024_Z.JPG	39.4825278	73.5859317	4596.8	86.19	39.482765014	73.584980645	4589.379	107.9	4.9	4622.4	+25.6
data/drive/2026-08-16/polanski/DJI_20260816115754_0025_Z.JPG	39.4825228	73.5859435	4597.4	87.214	39.482765654	73.584982867	4589.399	108.2	5.2	4623.0	+25.6
data/drive/2026-08-16/polanski/DJI_20260816115807_0026_Z.JPG	39.4825204	73.5859437	4597.3	87.358	39.482765047	73.584982071	4589.361	108.3	5.2	4623.1	+25.8
data/drive/2026-08-16/polanski/DJI_20260816115810_0027_Z.JPG	39.4825197	73.5859450	4597.4	87.478	39.482764922	73.584982111	4589.384	108.2	5.2	4623.2	+25.8
